mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,label
-382.28107,72.28145,-7.7336545,23.219507,-1.637429,4.800072,-22.656483,10.049736,-8.994947,10.343478,17.396181,3.1845622,12.156696,8.809772,0.8502426,5.7507443,2.8990908,0.67312944,4.305769,5.123461,1.806868,-0.8684978,0.76794356,0.7918869,-0.8837647,-0.6825095,0.08726821,-0.11155106,0.018008962,-0.21938908,-0.10044849,-0.04213675,-0.2446126,0.2438746,-0.14796351,-0.018601388,0.006666301,0.054895516,-0.020255016,-0.15543914,0.45137587,-0.8033837,0.122503035,0.3805008,-0.21359378,-0.35433352,0.30670682,0.23169047,-0.119592115,0.05095514,-0.011425983,0.28613418,-0.14387594,0.048143417,0.019314822,0.11754729,0.12369121,-0.097160526,0.12616216,-0.22277494,0
-391.48257,86.84964,-7.1120687,27.302893,3.751692,-1.5464606,-18.762009,11.007065,-7.5129733,8.569691,17.471802,5.056179,11.765521,13.435595,0.3994315,5.247945,5.0518265,-0.12968063,3.644148,5.1436357,0.78679556,0.35324892,-0.11554143,0.1991949,0.54518324,0.76003873,0.41095492,-0.009299143,0.06421039,0.22921453,0.3671226,-0.15079015,0.31214422,0.14901136,-0.044485077,0.06322131,-0.13371123,0.15943658,0.077658765,-0.10937197,0.5745635,-0.07818062,0.069411,-0.08067997,0.18653409,0.11222992,0.31552076,0.09576289,0.3071767,-0.1137956,0.091625616,0.1099712,0.008343168,-0.13846837,0.03281168,-0.012926687,-0.018254315,0.12269208,-0.14706431,-0.05173954,0
-388.97855,86.4645,-10.557266,23.54395,9.044027,-5.835653,-20.398596,12.421254,-7.392495,10.155439,13.4983,3.3124797,9.858721,12.864898,-0.3027412,4.2711473,2.7473524,-0.4640956,2.6133058,2.9107609,-1.9108924,-0.9164194,0.63169354,-0.6179005,0.75067866,0.19050363,-0.17131703,-0.051884443,-0.07008805,0.037298914,-0.10149023,0.3289436,-0.040943667,-0.40224236,0.14617638,0.21930678,-0.17224665,0.11142049,-0.084809475,-0.056646097,-0.11260654,1.1151776,-0.68690515,-0.04198948,-0.056199588,0.10071171,-0.008701253,-0.09882733,0.026252467,0.014879906,0.11374445,0.001632013,-0.06376445,-0.049280748,-0.1158057,-0.18720178,0.07344473,-0.09777464,-0.0075064716,0.01749777,0
-386.86893,54.518635,5.2454877,16.426283,10.2825575,-3.384721,-24.488571,8.56264,-10.961289,6.390907,10.723697,6.4787407,8.712344,6.248478,1.5643294,5.2726192,-1.9024855,1.3249801,1.2313174,1.0949824,0.60198116,-0.71498674,1.2597194,-0.8591186,0.5067256,0.57857984,-0.18324147,0.16633375,0.03379326,0.22181907,-0.26394188,0.12802713,-0.11994103,-0.15744092,0.113598034,0.009652397,-0.22859477,0.13154696,-0.17095105,0.18591058,0.06644522,-0.9278505,0.1237508,-0.27114832,-0.37512237,-0.060435195,0.13535309,0.16190973,0.13174471,-0.042649414,0.17125282,0.17584237,0.000735106,-0.13640463,0.07984865,0.05638741,0.061963618,0.015694104,0.15246965,-0.072593585,0
-392.32962,50.040535,0.3087214,29.664242,5.0792828,-12.099692,-19.832253,13.037727,-9.960913,3.6258976,12.752111,6.7486534,8.317796,5.3675256,0.7775285,5.8765397,-2.4916189,1.8061144,-0.6865844,1.1053236,0.9537376,2.0696237,-1.6195827,0.5584948,-0.054855272,-0.31086847,-0.20094669,0.07830077,0.4982098,-0.042398605,-0.14326322,0.07214254,0.40080172,-0.097037606,-0.07838183,0.37321112,0.15823795,-0.024912992,0.14155559,0.02183723,1.1291733,0.33481303,-0.37125772,0.28488672,0.12062391,-0.4300859,0.20390114,0.096485555,0.031123085,-0.011030937,-0.050576232,-0.02955934,0.028355855,0.09851577,-0.022792509,-0.07996143,-0.004821704,-0.012218909,0.017131453,-0.04138742,0
-374.75406,70.28285,-21.739882,26.806665,3.97907,-17.584635,-17.777897,18.289675,-6.1061525,7.758367,8.344153,6.180295,7.361966,6.387773,-3.0684285,8.867711,-3.611219,2.2070355,-1.1627191,2.212271,-0.44183385,1.5518187,-0.75842464,0.017880954,-0.09238392,0.49531403,-0.06683041,0.19206722,0.31058612,-0.16340835,-0.30988476,0.051301528,0.05133221,-0.30800775,-0.2612478,0.17723832,0.28913996,-0.23482437,0.27428535,0.11383256,-1.1478399,-0.56963533,0.53695935,-0.5113613,0.649251,0.21846336,-0.08068008,-0.40836698,0.17250572,-0.010676838,0.025368797,0.2926961,-0.039604824,0.08782516,0.1474927,0.089599915,0.034537923,0.066535406,-0.049476527,-0.005548725,0
-381.48654,91.52942,-14.037331,17.157286,2.830793,-2.9888663,-14.559588,11.331815,-8.413899,7.898833,8.191948,7.259465,10.34391,7.3567853,-2.184382,11.473036,0.26132742,-0.54116744,0.98504853,3.6633847,0.35461822,0.9201902,2.065413,-0.8519971,-1.1570092,0.7232049,-0.062198833,-0.20096019,-0.46087044,0.06482784,-0.15934168,0.11922046,0.036345687,-0.03578021,0.091025285,-0.017602557,0.15288937,-0.27120325,0.14132035,-0.24970303,-0.8806333,-0.6745099,0.60009867,0.4878274,-0.05177095,-0.07742055,0.07129877,0.31058258,0.00044870045,-0.13349518,-0.2934642,0.09052805,-0.0020278294,-0.06341971,0.010768034,0.007409413,0.15102991,-0.12767926,0.17234764,-0.0044251285,0
-402.63525,95.88777,-11.521823,23.280783,1.2757897,2.3849037,-16.164415,2.9612803,-11.387155,8.710002,10.921668,8.089051,11.069409,11.517154,-0.3072926,7.6759305,4.1099706,-3.7188094,1.6627779,6.3854823,-1.7576003,-0.33418673,0.8280784,0.33201385,-0.1276735,-0.10623778,0.29969126,0.15627466,-0.34625998,-0.19408546,0.0585959,-0.12260719,0.03461138,0.008317368,-0.08182361,0.13392976,-0.036696486,0.022563828,0.021375425,-0.100901954,-1.0908576,-0.11870593,0.507842,-0.33977106,-0.20100619,0.5584979,0.3414436,-0.32711917,0.25932986,0.1878775,-0.2009977,0.15907368,0.11663258,-0.08380966,0.068791404,0.048361156,0.04156187,0.12101389,-0.00010752962,0.0057239844,0
-291.814,102.43372,-26.534063,10.310878,-17.458748,-35.24311,-35.931934,-17.871717,-20.83128,-20.8905,-6.460198,-10.963184,-10.953253,-11.591127,-14.207336,-11.429632,-12.111177,-12.081723,-12.407658,-7.2833652,0.36578986,1.2631893,-0.8280837,-0.5793744,-0.4568366,0.55719656,0.08838641,-0.22865702,0.04434257,0.041282836,0.4991462,-0.023610353,-0.075247005,0.18392684,0.025987055,-0.3094271,0.13357455,0.02715231,-0.31467927,0.23942482,-0.22534397,1.0758939,-0.4702525,0.1178657,-0.055132773,-0.27528027,-0.16097216,0.12151936,0.45508486,-0.17548104,0.27953342,0.06230633,0.091141716,-0.0005205794,0.063469104,0.031082243,0.090798855,-0.12345638,-0.09517138,0.03360929,0
-321.53836,102.815735,-18.24328,17.921436,-20.21374,-28.172531,-31.926144,-21.589117,-18.740957,-20.043335,-4.1107917,-11.87215,-13.33458,-6.6506844,-12.729403,-13.672451,-9.572094,-9.338304,-14.998038,-3.0710416,-1.05835,-1.3468137,0.7608626,-0.17038962,-0.17598884,0.3750695,-0.33165753,0.08248096,-0.09307826,0.033888083,0.057869375,0.04874348,-0.24567272,-0.09110116,-0.0584312,-0.063136384,-0.15143937,0.15847977,0.03672547,-0.07575947,1.0216889,0.18935822,-0.16306315,-0.26123655,-0.016040193,0.01193565,0.092480175,0.05115132,0.118621424,0.12419091,0.19512478,0.15975863,-0.015501839,-0.04795376,0.07807429,0.030815529,0.0048190528,0.0035763185,0.017592784,-0.03512856,0
